player_id,player_name,bowling_type,bowling_hand,batting_type,batting_hand,date_of_birth,is_wicket_keeper,nationality
7936,Suraj Kumar,Right-arm medium,R,Right-hand bat,R,29/11/88,0,Oman
7935,Mohammad Ghazanfar,Right-arm Leg-Break,R,Right-hand bat,R,28/12/94,0,
7933,Daniel Jakiel,Right-arm Fast,R,Right-hand bat,R,14/11/90,0,Zimbabwe
7924,Kushal Malla,Slow left-arm orthodox,L,Left-hand bat,L,04/03/04,0,Japan
7920,Nathan Ellis,Right-arm medium,R,Right-hand bat,R,22/09/94,0,Australia
7919,Jason Kila,Slow left-arm orthodox,L,Left-hand bat,L,15/01/90,0,
7918,Karl Birkenstock,Right-arm fast-medium,R,Left-hand bat,L,27/03/96,0,
7917,Jan Frylinck,Left-arm fast-medium,L,Left-hand bat,L,06/04/94,0,
7916,Karima Gore,Slow left-arm orthodox,L,Right-hand bat,R,25/06/98,0,
7915,Monank Patel,,,Right-hand bat,R,01/05/90,1,
7912,Vikramjit Singh,Right-arm medium-fast,R,Left-hand bat,L,09/01/03,0,
7911,Oliver Hairs,Right-arm offbreak,R,Left-hand bat,L,14/04/91,0,
7909,Philippe Boissevain,Right-arm Leg-Break,R,Right-hand bat,R,18/10/00,0,
7908,Mohammad Akbar Ali,Right-arm offbreak,R,Right-hand bat,R,08/10/01,1,Bangladesh
7906,Rakibul Hasan,Slow left-arm orthodox,L,Left-hand bat,L,09/09/02,0,Bangladesh
7905,Tanzim Sakib,Right-arm medium,R,Right-hand bat,R,20/10/02,0,Bangladesh
7904,Mohammad Chowdhury,Left-arm medium-fast,L,Left-hand bat,L,28/06/01,0,Bangladesh
7903,Shamim Hossain,Right-arm offbreak,R,Left-hand bat,L,02/09/00,0,Bangladesh
7902,Mahmudul Joy,Right-arm offbreak,R,Right-hand bat,R,13/11/00,0,Bangladesh
7901,Parvez Emon,Right-arm offbreak,R,Left-hand bat,L,12/06/02,0,Bangladesh
7900,Tanzid Hasan,Right-arm medium,R,Left-hand bat,L,30/11/00,0,Bangladesh
7899,Karan Lal,Right-arm offbreak,R,Right-hand bat,R,19/10/00,0,India
7898,Varun Lavande,Right-arm offbreak,R,Right-hand bat,R,05/12/00,0,India
7897,Namboori Tilak Varma,Right-arm offbreak,R,Left-hand bat,L,08/11/02,0,India
7896,Akash Singh,Left-arm medium-fast,L,Right-hand bat,R,26/04/02,0,India
7895,Shashwat Rawat,Right-arm medium-fast,R,Left-hand bat,L,06/04/01,0,India
7894,Tony Munyonga,Right-arm offbreak,R,Right-hand bat,R,31/01/99,0,Zimbabwe
7808,Marco Jansen,Left-arm Fast,L,Right-hand bat,R,30/04/00,0,South Africa
7807,Shreesha Achar,Slow left-arm orthodox,L,Right-hand bat,R,,0,India
7805,George Garrett,Right-arm medium-fast,R,Right-hand bat,R,04/03/00,0,England
7804,Callum Zinzan Taylor,Right-arm offbreak,R,Right-hand bat,R,19/06/98,0,England
7802,Krishna Pandey,Right-arm medium,R,Right-hand bat,R,17/09/94,0,India
7778,Mansur Ali Khan Ludhi,Right-arm medium,R,Right-hand bat,R,01/01/00,0,India
7768,Karthik Shanmugam G,Right-arm Leg-Break,R,Left-hand bat,L,08/05/99,0,India
7767,Devaiah KS,Right-arm medium,R,Right-hand bat,R,21/12/94,0,India
7763,Kishan Bidare,Right-arm medium,R,Right-hand bat,R,,0,India
7762,Dan Lincoln,Right-arm medium,R,Right-hand bat,R,26/05/95,0,England
7761,Ravinderpal Singh,Right-arm offbreak,R,Right-hand bat,R,14/10/88,0,
7760,Nawab Singh,Right-arm medium,R,Right-hand bat,R,,0,
